X,Y,Time Stamp
X,Y,Time Stamp
X,Y,Time Stamp
X,Y,Time Stamp
309.5,142.5,2018-11-04 17:16:45
188.5,244.0,2018-11-04 17:16:45
309.5,140.5,2018-11-04 17:16:45
188.5,241.5,2018-11-04 17:16:45
308.5,144.5,2018-11-04 17:16:45
188.5,237.5,2018-11-04 17:16:45
311.5,144.5,2018-11-04 17:16:45
189.5,241.5,2018-11-04 17:16:45
312.5,143.5,2018-11-04 17:16:46
190.5,241.5,2018-11-04 17:16:46
314.0,138.0,2018-11-04 17:16:46
190.5,245.0,2018-11-04 17:16:46
311.5,144.5,2018-11-04 17:16:46
191.0,236.5,2018-11-04 17:16:46
311.5,144.5,2018-11-04 17:16:46
191.0,236.5,2018-11-04 17:16:46
312.5,144.5,2018-11-04 17:16:46
190.5,241.5,2018-11-04 17:16:46
312.5,142.5,2018-11-04 17:16:46
190.5,242.5,2018-11-04 17:16:46
507.5,277.0,2018-11-04 17:16:46
190.5,237.5,2018-11-04 17:16:46
509.0,277.0,2018-11-04 17:16:46
189.5,241.5,2018-11-04 17:16:46
509.0,277.0,2018-11-04 17:16:46
189.5,245.0,2018-11-04 17:16:46
509.0,277.0,2018-11-04 17:16:47
189.5,245.0,2018-11-04 17:16:47
314.5,142.5,2018-11-04 17:16:47
189.5,237.5,2018-11-04 17:16:47
323.5,130.0,2018-11-04 17:16:47
188.5,237.5,2018-11-04 17:16:47
312.5,144.5,2018-11-04 17:16:47
188.5,242.5,2018-11-04 17:16:47
311.5,139.5,2018-11-04 17:16:47
189.5,242.0,2018-11-04 17:16:47
,,2018-11-04 17:16:47
189.5,240.5,2018-11-04 17:16:47
,,2018-11-04 17:16:47
188.5,241.5,2018-11-04 17:16:47
314.0,142.5,2018-11-04 17:16:47
188.5,244.0,2018-11-04 17:16:47
,,2018-11-04 17:16:47
189.5,241.0,2018-11-04 17:16:47
314.5,146.5,2018-11-04 17:16:48
188.5,237.5,2018-11-04 17:16:48
311.5,138.5,2018-11-04 17:16:48
188.5,236.5,2018-11-04 17:16:48
309.5,132.5,2018-11-04 17:16:48
189.5,247.0,2018-11-04 17:16:48
313.0,141.5,2018-11-04 17:16:48
189.5,247.0,2018-11-04 17:16:48
312.0,141.5,2018-11-04 17:16:48
190.5,242.5,2018-11-04 17:16:48
309.5,143.5,2018-11-04 17:16:48
188.5,242.5,2018-11-04 17:16:48
500.5,278.0,2018-11-04 17:16:48
188.5,242.5,2018-11-04 17:16:48
311.0,138.0,2018-11-04 17:16:48
189.5,236.5,2018-11-04 17:16:48
312.0,138.0,2018-11-04 17:16:49
193.0,237.5,2018-11-04 17:16:49
313.0,141.5,2018-11-04 17:16:49
194.5,242.5,2018-11-04 17:16:49
316.0,134.0,2018-11-04 17:16:49
194.0,237.5,2018-11-04 17:16:49
310.5,145.5,2018-11-04 17:16:49
194.5,239.0,2018-11-04 17:16:49
311.0,142.5,2018-11-04 17:16:49
192.0,236.5,2018-11-04 17:16:49
313.5,135.5,2018-11-04 17:16:49
194.0,240.0,2018-11-04 17:16:49
311.5,145.0,2018-11-04 17:16:49
194.0,240.0,2018-11-04 17:16:49
307.5,141.5,2018-11-04 17:16:49
192.0,236.5,2018-11-04 17:16:49
305.0,141.5,2018-11-04 17:16:49
190.5,240.0,2018-11-04 17:16:49
304.5,140.5,2018-11-04 17:16:50
192.0,271.0,2018-11-04 17:16:50
500.5,275.0,2018-11-04 17:16:50
189.5,236.5,2018-11-04 17:16:50
302.0,140.0,2018-11-04 17:16:50
192.0,271.0,2018-11-04 17:16:50
305.5,143.5,2018-11-04 17:16:50
194.0,237.5,2018-11-04 17:16:50
308.5,133.0,2018-11-04 17:16:50
196.5,237.5,2018-11-04 17:16:50
307.5,135.5,2018-11-04 17:16:50
197.5,235.5,2018-11-04 17:16:50
307.5,141.5,2018-11-04 17:16:50
199.0,236.5,2018-11-04 17:16:50
307.5,141.5,2018-11-04 17:16:50
198.0,239.0,2018-11-04 17:16:50
310.0,132.0,2018-11-04 17:16:50
198.0,237.5,2018-11-04 17:16:50
307.5,132.0,2018-11-04 17:16:51
200.0,234.0,2018-11-04 17:16:51
310.0,133.0,2018-11-04 17:16:51
201.0,233.0,2018-11-04 17:16:51
311.0,133.5,2018-11-04 17:16:51
202.5,231.5,2018-11-04 17:16:51
310.0,133.0,2018-11-04 17:16:51
201.0,231.5,2018-11-04 17:16:51
304.0,139.0,2018-11-04 17:16:51
198.0,231.5,2018-11-04 17:16:51
300.5,136.5,2018-11-04 17:16:51
190.5,234.0,2018-11-04 17:16:51
296.5,136.5,2018-11-04 17:16:51
187.0,235.0,2018-11-04 17:16:51
297.5,133.0,2018-11-04 17:16:51
188.5,236.5,2018-11-04 17:16:51
297.0,132.0,2018-11-04 17:16:52
189.5,274.5,2018-11-04 17:16:52
299.5,132.0,2018-11-04 17:16:52
190.5,266.5,2018-11-04 17:16:52
302.5,134.0,2018-11-04 17:16:52
196.0,231.5,2018-11-04 17:16:52
307.5,139.0,2018-11-04 17:16:52
201.0,231.5,2018-11-04 17:16:52
309.0,140.0,2018-11-04 17:16:52
204.5,231.5,2018-11-04 17:16:52
311.0,140.0,2018-11-04 17:16:52
206.0,231.5,2018-11-04 17:16:52
311.0,141.5,2018-11-04 17:16:52
206.0,231.5,2018-11-04 17:16:52
312.0,142.5,2018-11-04 17:16:52
205.5,235.5,2018-11-04 17:16:52
313.0,142.5,2018-11-04 17:16:52
206.0,232.5,2018-11-04 17:16:52
317.0,144.0,2018-11-04 17:16:53
208.0,234.0,2018-11-04 17:16:53
312.5,145.5,2018-11-04 17:16:53
209.0,234.0,2018-11-04 17:16:53
315.5,145.0,2018-11-04 17:16:53
208.5,234.0,2018-11-04 17:16:53
318.0,142.5,2018-11-04 17:16:53
210.0,235.0,2018-11-04 17:16:53
318.5,145.0,2018-11-04 17:16:53
211.0,235.0,2018-11-04 17:16:53
318.0,147.0,2018-11-04 17:16:53
212.5,236.5,2018-11-04 17:16:53
319.0,147.0,2018-11-04 17:16:53
213.5,235.5,2018-11-04 17:16:53
319.0,147.0,2018-11-04 17:16:53
212.5,235.5,2018-11-04 17:16:53
321.0,147.0,2018-11-04 17:16:53
213.5,236.5,2018-11-04 17:16:53
322.0,147.0,2018-11-04 17:16:54
215.0,237.5,2018-11-04 17:16:54
323.5,148.0,2018-11-04 17:16:54
217.0,240.0,2018-11-04 17:16:54
323.5,150.5,2018-11-04 17:16:54
221.5,112.0,2018-11-04 17:16:54
323.5,150.5,2018-11-04 17:16:54
219.0,241.0,2018-11-04 17:16:54
322.0,150.5,2018-11-04 17:16:54
220.5,113.0,2018-11-04 17:16:54
323.5,149.5,2018-11-04 17:16:54
216.0,241.0,2018-11-04 17:16:54
322.0,149.5,2018-11-04 17:16:54
214.5,237.5,2018-11-04 17:16:54
322.0,149.5,2018-11-04 17:16:54
216.5,239.0,2018-11-04 17:16:54
322.0,149.5,2018-11-04 17:16:55
